solver,method,rep,n_rows,n_cols,margin,noise,tau_true,tau_raw,tau_projected,tau_error_raw,tau_error_projected,tau_shift,baseline_rmse_raw,baseline_rmse_projected,pattern,outcome_mode,baseline_projection,baseline_min_raw,baseline_min_projected,negative_fraction_raw,clipped_fraction,clipped_mass,max_clipped_magnitude
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,0.2,0.3903945865590698,0.3903945865590698,0.19039458655906977,0.19039458655906977,0.0,0.7853747440373802,0.7853747440373802,staggered,dense,clip_nonnegative,0.25648243315120345,0.25648243315120345,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,0.2,0.037005726783499546,0.037005726783499546,-0.16299427321650045,-0.16299427321650045,0.0,0.42006228382779276,0.42006228382779276,staggered,dense,clip_nonnegative,0.1716206848548607,0.1716206848548607,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,0.2,0.2674902592676165,0.26525731496369787,0.06749025926761648,0.06525731496369785,-0.002232944303918627,0.5870648164911682,0.5860684942317453,staggered,intermittent,clip_nonnegative,-0.1977046312149315,0.0,0.09722222222222222,0.09722222222222222,0.8808635328110607,0.1977046312149315
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,0.2,0.2723537412306167,0.2723537412306167,0.07235374123061666,0.07235374123061666,0.0,0.5055064876136837,0.5046093230664614,staggered,intermittent,clip_nonnegative,-0.23943794279496466,0.0,0.06944444444444445,0.06944444444444445,0.9113720777026184,0.23943794279496466
MCNNM,raw_vs_projected,0,12,12,0.05,0.2,-0.2,-0.33869572055168956,-0.33869572055168956,-0.13869572055168955,-0.13869572055168955,0.0,0.4319179233278361,0.4319179233278361,block,dense,clip_nonnegative,0.21682373142022726,0.21682373142022726,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.2,-0.2,-2.212852644958476,-2.212852644958476,-2.0128526449584756,-2.0128526449584756,0.0,1.263601552497287,1.263601552497287,block,dense,clip_nonnegative,0.44487401666622794,0.44487401666622794,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.2,-0.2,0.17974435413754422,0.1649790247646799,0.37974435413754426,0.3649790247646799,-0.014765329372864316,0.7135994353120496,0.709795166468629,block,intermittent,clip_nonnegative,-0.33028619377933605,0.0,0.09722222222222222,0.09722222222222222,2.012929731266869,0.33028619377933605
MCNNM,raw_vs_projected,1,12,12,0.05,0.2,-0.2,-0.4047090114133985,-0.41933336194119214,-0.20470901141339848,-0.21933336194119213,-0.01462435052779365,0.34736840865236035,0.3436422468166538,block,intermittent,clip_nonnegative,-0.23267193755342797,0.0,0.14583333333333334,0.14583333333333334,2.27698619142811,0.23267193755342797
MCNNM,raw_vs_projected,0,12,12,0.05,0.2,-0.2,-0.12186679996232025,-0.12186679996232025,0.07813320003767976,0.07813320003767976,0.0,0.26368922591155985,0.26368922591155985,sparse,dense,clip_nonnegative,0.5655181103684717,0.5655181103684717,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.2,-0.2,-0.14684154416532386,-0.14684154416532386,0.053158455834676155,0.053158455834676155,0.0,0.32498309324375035,0.32498309324375035,sparse,dense,clip_nonnegative,0.44220963273727465,0.44220963273727465,0.0,0.0,0.0,-0.0
