method,dc_mode,tau,std,inference_valid,baseline_min,negative_fraction,negative_mass,rank,stable_rank,solver,rep,n_rows,n_cols,margin,noise,tau_true,tau_error,pattern,outcome_mode,method_non_neg,std_available,max_negative_magnitude,projected_design_min_eigenvalue,projected_design_condition_number,residual_frobenius_norm,tau_raw,tau_shift
nonnegative_svd,non-convex,-0.3367739144123154,,False,0.36529680695297273,0.0,0.0,2,1.0514848562324288,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.1367739144123154,staggered,dense,svd,False,-0.0,7.748729783870477,1.0,8.386985818547528,,
nonnegative_nnmf,non-convex,-0.3367854732086129,,False,0.36749582843121814,0.0,0.0,2,1.0514828264900296,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.1367854732086129,staggered,dense,nnmf,False,-0.0,7.74954413794975,1.0,8.386986799719352,,
final_clip,non-convex,-0.3367737172405279,,False,0.36529681929877267,0.0,0.0,2,1.0514848580474494,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.1367737172405279,staggered,dense,,,,,,,-0.33677371724052796,5.551115123125783e-17
raw,non-convex,-0.12029014629962119,0.2745896876100059,True,0.06088035427101124,0.0,0.0,2,1.0833530434433896,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.07970985370037882,staggered,dense,,,,,,,,
nonnegative_svd,non-convex,-0.12029009910067129,,False,0.06088035478333875,0.0,0.0,2,1.0833530443900206,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.07970990089932872,staggered,dense,svd,False,-0.0,7.676774296742493,1.0,7.748430679764524,,
nonnegative_nnmf,non-convex,-0.12061248733284805,,False,0.06175214532327512,0.0,0.0,2,1.0833374532098814,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.07938751266715197,staggered,dense,nnmf,False,-0.0,7.677000595502542,1.0,7.748431706497368,,
final_clip,non-convex,-0.12029014629962118,,False,0.06088035427101124,0.0,0.0,2,1.0833530434433896,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.07970985370037884,staggered,dense,,,,,,,-0.12029014629962119,1.3877787807814457e-17
raw,non-convex,-0.3977231575375919,0.12613450163959536,True,-0.202918559364142,0.0625,1.031501359382208,2,1.5327822826626916,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.1977231575375919,staggered,intermittent,,,,,,,,
nonnegative_svd,non-convex,-0.401382782277294,,False,0.0,0.0,0.0,5,1.51450978323433,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.201382782277294,staggered,intermittent,svd,False,-0.0,6.301068890401684,1.0,5.186940220373644,,
nonnegative_nnmf,non-convex,-0.39098484343600715,,False,0.0,0.0,0.0,2,1.5076938840089487,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.19098484343600713,staggered,intermittent,nnmf,False,-0.0,13.174743473240033,1.0,5.223466532774032,,
final_clip,non-convex,-0.3988850534225866,,False,0.0,0.0,0.0,5,1.5148241430923415,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.1988850534225866,staggered,intermittent,,,,,,,-0.3977231575375919,-0.0011618958849947125
raw,non-convex,-0.1821527217160378,0.07159034752797806,True,-0.09139692986085034,0.11805555555555555,0.47854554167281443,2,1.4806046224826268,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.01784727828396221,staggered,intermittent,,,,,,,,
nonnegative_svd,non-convex,-0.20323939070935235,,False,0.0,0.0,0.0,6,1.4725408131883513,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.0032393907093523355,staggered,intermittent,svd,False,-0.0,1.860348399545066,1.0,3.623175190490943,,
nonnegative_nnmf,non-convex,-0.2128464244183572,,False,0.0,0.0,0.0,2,1.467156270544277,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.012846424418357177,staggered,intermittent,nnmf,False,-0.0,7.011141094315491,1.0,3.629595811497639,,
final_clip,non-convex,-0.1888414658545591,,False,0.0,0.0,0.0,7,1.4776783433914136,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.011158534145440907,staggered,intermittent,,,,,,,-0.1821527217160378,-0.006688744138521302
raw,non-convex,10.347377598832425,102.84309321422926,True,-6.796673707932374,0.25,208.82980875959026,2,1.5860931647610994,DebiasConvex,0,12,12,0.05,0.05,0.2,10.147377598832426,block,dense,,,,,,,,
nonnegative_svd,non-convex,0.35471809505885027,,False,0.0,0.0,0.0,3,1.0372655279074414,DebiasConvex,0,12,12,0.05,0.05,0.2,0.15471809505885026,block,dense,svd,False,-0.0,7.147345345505213,1.0,4.5396254351396985,,
